                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2353,                0.94646,                 1.6743,                0.95363,                0.96398,                0.96484,                0.73012,                 0.9592,                0.54702,                 1.3302,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.2546,                0.94337,                 1.6804,                0.95507,                0.96366,                0.96612,                0.72889,                 0.9547,                0.54549,                 1.3178,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2563,                0.92707,                 1.6831,                0.95195,                0.96661,                0.96236,                0.73232,                0.95021,                0.53113,                 1.3296,               0.000505,               0.000505,               0.000505
                     53,                 1.2441,                0.93641,                 1.6768,                0.95636,                0.97073,                0.96135,                0.73718,                0.94557,                0.51865,                 1.3024,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.2481,                0.93885,                 1.6795,                0.96071,                0.96853,                0.96319,                0.73198,                0.96839,                0.52242,                 1.3505,              0.0004852,              0.0004852,              0.0004852
                     55,                  1.224,                0.92574,                 1.6541,                0.96101,                 0.9685,                0.96166,                0.72759,                0.93667,                0.53191,                 1.3096,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.2319,                0.91741,                 1.6544,                0.96281,                0.96709,                0.95848,                0.72954,                0.95681,                 0.5081,                  1.317,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.2145,                 0.9137,                 1.6397,                0.96428,                0.96506,                0.96169,                0.73523,                0.95183,                0.52307,                 1.3016,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.2148,                0.91213,                 1.6456,                 0.9539,                 0.9678,                0.96177,                0.73405,                0.96768,                0.53087,                 1.3078,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.2196,                0.90559,                 1.6472,                0.95616,                0.97279,                0.95895,                0.73519,                0.92627,                0.50811,                 1.3038,              0.0004357,              0.0004357,              0.0004357
